car_name,rating,price,mileage,engine
Maruti Suzuki Celerio,4.1,"Rs.4.70 - 6.75 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",26.68 kmpl,998 cc
Honda Amaze,4.5,"Rs.7.65 - 10 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",19.46 kmpl,1199 cc
Tata Sierra EV,4.8,"Rs.18.79 - 26.48 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Renault Duster,4.7,"Rs.10.49 - 18.69 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",19.41 kmpl,1333 cc
Toyota Glanza,4.4,"Rs.6.73 - 9.99 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",22.94 kmpl,1197 cc
BMW X7,4.4,"Rs.1.26 - 1.37 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",14.31 kmpl,2998 cc
Toyota Taisor,4.4,"Rs.7.43 - 12.94 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",22.8 kmpl,1197 cc
Skoda Kushaq,4.8,"Rs.10.69 - 18.99 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",19.76 kmpl,1498 cc
Nissan Magnite,4.5,"Rs.5.68 - 10.99 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",19.9 kmpl,999 cc
Toyota Vellfire,4.6,"Rs.1.20 - 1.30 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",16 kmpl,2487 cc
Maruti Suzuki XL6,4.4,"Rs.11.62 - 14.57 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",20.97 kmpl,1462 cc
Renault KWID,4.3,"Rs.4.53 - 5.85 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",22.3 kmpl,999 cc
Mahindra Bolero Neo,4.5,"Rs.8.99 - 10.79 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",17.29 kmpl,1493 cc
